id,sticker_file_id,search_tags
sony,CAACAgIAAxkBAAMmYgesVyMXVNbMarzRfq_D4UlHA2YAAlcOAAJ9xFhIA6fqewP38UEjBA,sony,сони
amd,CAACAgIAAxkBAAMoYgesd875OUXAyVVhv3ci5AMf5hAAApwOAAIu7lhITf_4xZdBgPQjBA,amd,амд
apple,CAACAgIAAxkBAAMLYgen8fqfrYXIQVO5-UVCzoZhdpEAAn4QAAJRsllI6O6VpC_EMwgjBA,эпл,apple
intel,CAACAgIAAxkBAAMqYgesovg4hoiOWaY200tuoYe8ZO8AAkEMAAJzyGBINjDZKIo5CK8jBA,intel,интел
microsoft,CAACAgIAAxkBAAM2YgewXBLPc8Gb1dM9TrV7ejpVbMkAAqcOAAL7FVhIiHe4Cwqqh_kjBA,microsoft,майкрософт
nintendo,CAACAgIAAxkBAAM4Ygewh6xJ5Rb58QbXjOjyzGGYAAFOAAJ_DwACbxZYSPaBHFUnmFkKIwQ,nintendo,нинтендо
nvidia,CAACAgIAAxkBAAM6Ygewo0x0HSHNJ7m5hv1kMirqShIAAvQMAAIpBllI4urCSXLQv74jBA,nvidia,нвидиа
gosuslugi,CAACAgIAAxkBAAM-Ygewx3ezti-5DhkKVM3ggPwmtt4AAsEMAAI9z7FIQOJ2mP66VTcjBA,gosuslugi,госуслуги
activision,CAACAgIAAxkBAANAYgexHYLjk8EGFShUw3YK557isf8AAjgLAALtbLlIy1FpauI6IxQjBA,activision,активижн
ubisoft,CAACAgIAAxkBAANCYgexP68hXLiTbm7g7lVxgtcckVUAAg4NAAJbOLBIK11Yb8J5BVcjBA,ubisoft,юбисофт
blizzard,CAACAgIAAxkBAANEYgexX37PxvO3bJjHJF0BAf9oQmYAApENAAKcwLFIAAGZO9S1uXPdIwQ,blizzard,близард
bethesda,CAACAgIAAxkBAANGYgexgkkQqrcaQDFRNGvWbeO34GUAAlwOAAKlZbhIOdhdES8hsGcjBA,bethesda,безезда
yandex,CAACAgIAAxkBAAM0YgevzSKvl7nV8TVS8UMF2HfeeMwAAm8NAALE8LFIMop5q4D-fwwjBA,yandex,яндекс
sber,CAACAgIAAxkBAANIYgexpRU7qiZ1o-FiZenMyEzN_xYAAvYNAAJtvrFInmUZw4n6my4jBA,sber bank,сбер банк
canon,CAACAgIAAxkBAANKYgexvib-eIWsUat0D-W6XjLN3FkAAmQMAALi3LFIDoAm0t5taWEjBA,canon,кэнон
nikon,CAACAgIAAxkBAANMYgex2ik9WbYV3EJDYW7NGVkNAkcAAuILAAKH4blIXBhg91hHV4gjBA,nikon,никон
google,CAACAgIAAxkBAANOYgex9h8lkFiQoQ4weB_cu-IThhsAAnQPAAJmbbhIJSIVkNpQDSEjBA,google,гугл
disney,CAACAgIAAxkBAANQYgeyGF11ESRy_50PyhNSR4bJ-lQAAoQLAAJTwrFIdcv9xgjLhGEjBA,disney,дисней
ea,CAACAgIAAxkBAANSYgeyM4zyEMbG8jVK9SXpREfPlykAAucLAAL0i7lI7lcnlIPftVUjBA,ea,еа,electronic arts
amazon,CAACAgIAAxkBAANUYgeyb06y0iUTxeMqIQja-3hGSloAAtUNAAJqRrhIVE9Yrvaqgt4jBA,amazon,амазон
epicgames,CAACAgIAAxkBAANWYgeyi4YEc28fX4CFd4F7Qom--rMAAp8MAAJhqrFI-LKjTQdXdSQjBA,epic games,эпик геймз
qualcomm,CAACAgIAAxkBAANYYgeytDFbm73YcL0aGJK2jQmwoN8AAkUNAALAzLhI224UNxxefwgjBA,qualcomm,куалком
cdproj,CAACAgIAAxkBAANaYgey2T65SohKtbBFr8MxcKHxJnUAAqAPAAK0LLBIYk1CkfSNPuAjBA,cd project
wd,CAACAgIAAxkBAANcYgezAw2jGcZYVSjpbRefZ37FgzcAAv0NAAKOy7BI9N1-1uiz3TcjBA,wd
seagate,CAACAgIAAxkBAANiYge3lMD5xeisY54ZGHpiaWQONeoAAs4NAAKd6LFIYzU8nQ8D-WMjBA,seagate,сигейт
twitch,CAACAgIAAxkBAANkYge3xN4AAZZriCgz-HQSbylYXnUmAAIcDAAC_GOxSEx-WtZ0luHCIwQ,twitch,твич
dns,CAACAgIAAxkBAANmYge35unJhcSDa-greO2rNaFT9OMAAokSAAIdCalLj_WRU5sbsrsjBA,dns,днс
mts,CAACAgIAAxkBAANoYge3-iSyUZMpRB8Pw4exk-ZEot0AAlMOAAK1frlIQV-TYi1UOqojBA,mts,мтс
zc,CAACAgIAAxkBAANqYge4EQZEGrvF0o1_Gz6Gn3e-S_gAAvwPAAKucrFIKYrKdnvazy8jBA,zc
tinkoff,CAACAgIAAxkBAAMHYgek7OdKrhm-NBUR34RdfstH6EsAAqEKAALCdrFI9iQOquGJUDwjBA,tinkoff bank,тинькофф банк
cb,CAACAgIAAxkBAANsYge4LKXJY8mYQJDI1eAgcoP3w3EAApQOAAIyhLlIwLjWMGAqROUjBA,цб,банк россии,bank of russia,central bank
tencent,CAACAgIAAxkBAANuYge4rCc49gwW5tjY6NWAbHZkIgcAAn4NAAJR-7FIwQKl9zFvofojBA,tencent
pidoras,CAACAgIAAxkBAANwYge5CK6ZDQJufjpYv8zAKnBt9j8AAoANAAK18blILDY7mhWiCwIjBA,pidoras,пидорас
atlus,CAACAgIAAxkBAANyYge5VKSNhRQ6P7Poaxf6-1B9Zp8AAtcLAAJ0PLhI5OKEgjzBtlUjBA,atlus
we,CAACAgIAAxkBAAN0Yge5cUO6rY-UVE8Cxfj11qDCwj0AAtEKAAKya7lIC4WEe66vCbcjBA,we,ямы
vk,CAACAgIAAxkBAAN2Yge5lEYQMHzp98Xz7LFieNyg3k4AAnUNAAJFsLFIzsLpOtIXydgjBA,vkontakte,вконтакте
epam,CAACAgIAAxkBAAN4Yge5s8QZvEondGrRpK_R59-VodwAAggOAAJlWLFI1Zme5Y3oFxMjBA,epam,епам
mvideo,CAACAgIAAxkBAAN6Yge5xqT_GafTIgSQmUTol_8eY7MAAn0RAAJFurlIiU7cCY3KxM8jBA,mvideo,мвидео
eldorado,CAACAgIAAxkBAAN8Yge54c-fThM32SJhsHMWa3kuRgYAAikTAAJXPMBIRYr5MQ79TfEjBA,eldorado,эльдорадо
adobe,CAACAgIAAxkBAAOAYge5_1FvhAfwMnU65vkItBblfDYAAr8OAALau8BI5gIlh2ViQ_EjBA,adobe,адобе
bungie,CAACAgIAAxkBAAOCYge6GBIU4PYORSjbbhV18cn2IcwAAp0JAAItzMlIyWuJwxESieYjBA,bungie
ozon,CAACAgIAAxkBAAOEYge6MaFsBaxafjeYqAOg7oml41UAAr4MAAKcKchIVbDu9R_t1mcjBA,ozon,озон
valve,CAACAgIAAxkBAAOGYge6SrxgRiTuam-7LAYybaIFH3EAAu0OAALEbcFID_y0wJOz1W8jBA,valve,вальв
megafon,CAACAgIAAxkBAAOIYge6aMmnCxPWOc5QzK3fyOdEwYUAAssNAAJjCclIMslcIj97j50jBA,megafon,мегафон
aliexpress,CAACAgIAAxkBAAOKYge6hq13SNZRkL1iMcZyX1JNYoAAAusPAAKxCmFL3Lqe2PMJwzUjBA,aliexpress,алиэкспрес
fia,CAACAgIAAxkBAAOMYge6ozcIQKhQBT6cnNU8E_7EPcEAAs8MAALfDcFIhwIpVX5Pr0wjBA,fia
samsung,CAACAgIAAxkBAAOOYge6xSWM1NjX5UsraCx_l_C1KAQAApcRAALyQVhIfl63QfNzKtAjBA,samsung,самсунг
tg,CAACAgIAAxkBAANeYgezIJNH7De92oA0WSDfxREF_9kAApYOAAKBXGBILrutQjSlJXwjBA,tg,telegram,телеграм,тг
netflix,CAACAgIAAxkBAAOQYge8Y9etOuFLPqMWHWnF5Ix1A18AAm4MAAJQb0FI1upMMFhpcJ8jBA,netflix,нетфликс
rt,CAACAgIAAxkBAAOSYge8hH8PDnfZQz8Uzr04rqWiUKMAAucPAALSRkFIx68oGD1cZpojBA,rt,rostelecom,рт,ростелеком
spotify,CAACAgIAAxkBAAOUYge8qvL2q4oW1ry44dwwKB1xTAADMQ4AAj2aYUjF6t28pTQEjiME,spotify,спотифай
me,CAACAgIAAxkBAAOWYge8yCOtMjI0uWhOMfkaKpVGMtgAAjkOAAKkOshIi2JmWdCyNOwjBA,me,я
you,CAACAgIAAxkBAAOYYge84p9pPC8ryeEeFn2FYDk1NPMAAvMMAAL0aNBI8r3PwTNOmlwjBA,you,ты
ps,CAACAgIAAxkBAAOaYge87ZgkulFPQjphV96hdGU-miwAAlwOAAKMe9FIyaG7gFZHKE8jBA,ps,пс,play station,плей стейшн,плойка
xbox,CAACAgIAAxkBAAOcYge9GY-Hdz0BGEPkvOmQAz8Q0WYAAtoNAAIHYdBIVSN6liLjnisjBA,xbox,иксбокс
redbull,CAACAgIAAxkBAAOeYge9Pa33b3c_lttF1y6gdS4W3hUAAjcOAALQCMlIpYLLZ2uKES0jBA,redbull,редбул
world,CAACAgIAAxkBAANgYgezX6TRMMEWZigYq3QP2LHl-ukAAnEPAAKvKmhLzYMj1-mAqYcjBA,мир,world
beeling,CAACAgIAAxkBAAOgYge9XCInopsggZYuXZF60hc4XRgAAskOAAKbKNFIC9iGeSS_uv8jBA,beeline,билайн
paradox,CAACAgIAAxkBAAOiYge9fodp5_Bzwuvfmy_CINSmDA8AAqkQAAJwwtBI2VqQ7hoQ33wjBA,paradox,парадокс
msu,CAACAgIAAxkBAAOkYge9mPNe41mNPffQk6Yf6u7j8CQAAlMMAALSuMlIrXf4UUYaXCYjBA,msu,мгу
hse,CAACAgIAAxkBAAOmYge9sT_5Jg2YYnQ9XpZdanuFAaYAAvwUAAIFe8hI24ukKt2KN5AjBA,hse,вшэ
hse_art,CAACAgIAAxkBAAOoYge929W0BD1H1NKCyg4D_7AYUmoAAsgMAAI5StBIlGYYe1DFyLIjBA,hse art and design
bmstu,CAACAgIAAxkBAAOqYge9-hdlH33GcJfYq3tNnBYuRaMAAqEMAAKw0clIietPVAABTPjNIwQ,bauman mstu,бауман мгту
spbgu,CAACAgIAAxkBAAOsYge-RBxA56PSwMDcDfL12KlEl18AAl0OAAITfslIQm5KnCJPA4UjBA,spbgu,спбгу
itmo,CAACAgIAAxkBAAOuYge-b7QigfRYYLDYS20jPbtDuC0AAt4MAAKtiMlIfG7tRiue9RsjBA,itmo,итмо
polytech,CAACAgIAAxkBAAOwYge-iAhM4-X-y56oekB14ANh8tgAArgMAAJcqtBI_FgX3XmRS6sjBA,polytech,политех
fujifilm,CAACAgIAAxkBAAO0Yge-ueFXuMAP0bVFeCHBxnuD4WAAAhcSAALBuGBLMl3Z3oKM57YjBA,fujifilm
subaru,CAACAgIAAxkBAAO2Yge-0Ne5Uf16nW4yzHFQnnMHFvoAAqEPAALbHmBLg2SdSOznQnMjBA,subaru,субару
yota,CAACAgIAAxkBAAO4Yge-9u_WUf_vnAOndfBCU0ui6IUAAkERAAI1mThJD21tJvDADD4jBA,yota,йота
roscom,CAACAgIAAxkBAAO6Yge_LmkxYnCIZvYt9B_DDlxrD50AAgoOAAIwwnlJ03xVgAaJFPIjBA,пидорасы
w1,CAACAgIAAxkBAAO8Yge_XnW357Ozi8kxQNj9RL01t_8AAtkMAAKYC3lJRQNgmvJHO1wjBA,погода туча
citylink,CAACAgIAAxkBAAPOYgfwydohQ1yCfbtY_pPJ5oG3eQcAAv8QAAIry2lLs365mn5PbXwjBA,citylink,ситилинк
vtb,CAACAgIAAxkBAAPQYgfw6YZq_lEOroZRzcmGScjPsqkAAigOAAIMbmBL2ZZD9rIHmoUjBA,vtb,втб
paypal,CAACAgIAAxkBAAPSYgfw-I-Qhog2Hw86_hgMGwTzNC8AAoMNAAL3ZhhI4LxRBwMSy28jBA,paypal,пейпал
akvafor,CAACAgIAAxkBAAPUYgfxDw5soEgu4QPIjaqHGYlyPzYAAmASAAILuRlI5VsCflsExpwjBA,akvafor,аквафор
kfc,CAACAgIAAxkBAAPWYgfxJ1n3VIyX6CAlj6iaV5-Kb94AAkcQAAKOvRhICv9BITyy2kkjBA,kfc,кфс
mcdonalds,CAACAgIAAxkBAAPYYgfxPjQYdlenAAF4ezMDvOR0uQYLAALiDAACJPgQSPnDhswo4NedIwQ,mcdonalds,макдоналдс
bk,CAACAgIAAxkBAAPaYgfxYsHQSmjk2ldu4EtE8enOhKMAAiUPAAIzSRBIYUBv65XBfNIjBA,burger king,bk,бургер кинг,бк
amg,CAACAgIAAxkBAAPcYgfxjWzyUEyoZWcoMXDy1G0O1soAAkYPAAIPlRlIyQOzBLFic4ojBA,amg,
avito,CAACAgIAAxkBAAPeYgfxz650aPxoXvPUah31FxlDxVgAAtQPAAJNJVFIBG6ma86P_AIjBA,avito,авито
games_workshop,CAACAgIAAxkBAAPgYgfx3Rd8JcAI-7XoSnn4EOSHuQADLhEAAgbaUUg-u5yPRTe-eCME,game workshop
samokat,CAACAgIAAxkBAAPiYgfx9pH4KEVZtGrBSmFezKKbRpEAAokOAAKoC1hI7NfFkYdZJY4jBA,samokat,самокат
pobeda,CAACAgIAAxkBAAPkYgfyImSmCwZRtaAow6shXzYm0VMAAqgLAALaJHhIxWcHlYhvlg0jBA,pobeda,победа
twitter,CAACAgIAAxkBAAPmYgfyNT_gUPsuSb0RhkfeMspZ8gIAArkSAAKQHOBIeq0ekipBxPwjBA,twitter,твитер
redit,CAACAgIAAxkBAAPoYgfyRh3q6LNF4MiWbKdRkdfSjTkAAvEOAAKYI-lIBS59W2DJfR4jBA,redit,редит
cisco,CAACAgIAAxkBAAPqYgfyVoXXO8eGAqP0N61A-fzq6xEAAm0OAAIu3elIuvKeULH77EsjBA,cisco,циско
hp,CAACAgIAAxkBAAPsYgfyZ-oopRqhagKg7cHabAABeinuAAJQFwACggbhSAlq3859V1kqIwQ,hp
tesla,CAACAgIAAxkBAAPuYgfydWi7q8NBZX_Yl1Am_MM1qukAAsERAAIB-uBIplf5pGuKnDcjBA,tesla,тесла
xiaomi,CAACAgIAAxkBAAPwYgfyhWYMSJtcmGl-WempFivFz7EAAnUTAAI2kOBIRoHeyzz6emojBA,xiaomi,сяоми
huawei,CAACAgIAAxkBAAPyYgfyluwuYNyteFTvLV9e1QZ2y9QAAlIQAALKc-FIyA2-QhBHJx0jBA,huawei,хуавей
evotor,CAACAgIAAxkBAAP0YgfysnpvXFkMBPUVecl-o9Ysi18AAh0RAAKDYShKH6i2X0KFsQYjBA,evotor,эвотор
1c,CAACAgIAAxkBAAP2Ygfyw0uKjNYES33_Gl2YlelRN0UAAlAVAAKT7ChKL6o_7uJtsNQjBA,1c,1с
spis,CAACAgIAAxkBAAP4Ygfy0S8lniTC48WpNvG_nWGzjUQAApUOAAJVjChK4CrliS_Xq4ojBA,sbis,сбис
atol,CAACAgIAAxkBAAP6YgfzNrTbP8oXpy9dtCXtVTABSOEAAuETAAI8YihKZdrxFxuupiMjBA,atol,атол
shtrihm,CAACAgIAAxkBAAP8YgfzSj-rIqUtd_BUtKfXj3ojyWQAArgSAAKFXSlKI459v7n7-6MjBA,штрихм
echo,CAACAgIAAxkBAAP-YgfzadNzNoBNDN0gO4GvP8YChAcAAl8PAALtx3BKX2VHZCntUJ0jBA,echo,эхо
niantic,CAACAgIAAxkBAAIBAAFiB_OG6ESaIALJXyXe-FiIDy2tywACmxAAAmrLoEo_DTdLiQ6YeyME,niantic
whoosh,CAACAgIAAxkBAAIBAmIH85tdUO0yI_-5YERW7NVT5iK8AALKEAACmFmxSqmdmL4Sh_i_IwQ,whoosh,вуш
rockstar,CAACAgIAAxkBAAIBBGIH87Bh2IxVxY5Bfj_2P0hLlPE0AAL3DwACiMoBS3bggx65FYXEIwQ,rockstart,рокстар
lanit,CAACAgIAAxkBAAIBCGIH88nOTxkFSDLu9RieD_1d1L3zAAK7DgAC3xUZS2lPaJUt0zP0IwQ,ланит,lanit
mihoyo,CAACAgIAAxkBAAIBCmIH89hAKr57ah755LsWdSp3c7r9AAJ_EAACiTuBSxD5MLZB0MRFIwQ,mihoyo
alfa,CAACAgIAAxkBAAIBDmIH8_cLJDvfcH6d67JuiuePIHKuAAK-DwACIcrgS1LFb_CwNsdDIwQ,alfabank,альфабанк
meta,CAACAgIAAxkBAAIBEGIH9BFpI0mROZZoTdNAHUrAvgLXAALCDgACpPnhS2w-KyOTjIoHIwQ,meta,мета,fb,facebook,фб,фейсбук
nestle,CAACAgIAAxkBAAIBFGIH9ELEm9RtJP9iyn7oOiNWePNuAAMUAAKZhhFI9ZwdqlA0ipojBA,nestle,нестле
aaaaaa,CAACAgIAAxkBAAIBFmIH9FCYK3uMu88wIy2chNpIYCAAA8ETAALDUxBK_dqJ6vuD0HMjBA,pic,пикчер
